live/beta,desease,status,model_output,symptoms
live,Ischemia,fail,"Infarct, Pulmonary","Gradual, Persistent, Central, Tightness, Infarct, Age>65, CP1Day (cytopathologists), Diaphoresis, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), RR>20 (respiratory rate is greater than 20)"
beta,Ischemia,pass,"Ischemia, Infarct","Gradual, Persistent, Central, Tightness, Infarct, Age>65, CP1Day (cytopathologists), Diaphoresis, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), RR>20 (respiratory rate is greater than 20)"
live,Aortic Dissection,pass,"Infarct, Aortic Dissection","Heaviness, Central, Severe, Persistent, Aortic dissection, Age<60, DM (Diabetes mellitus), Diaphoresis, Sbp< 100 (systolic blood pressure is less than 100), Murmur Diastolic, Un= pulses (unequal pulse)"
beta,Aortic Dissection,pass,"Aortic Dissection, Infarct","Heaviness, Central, Severe, Persistent, Aortic dissection, Age<60, DM (Diabetes mellitus), Diaphoresis, Sbp< 100 (systolic blood pressure is less than 100), Murmur Diastolic, Un= pulses (unequal pulse)"
live,AS/AI,fail,"Infarct, Ischemia","Squeezing, Central, Retrosternal, Syncope, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<60, HTN (Hypertension), HR>100 (heart rate greater than 100), JVD> 4cm (jugular venous distension greater than 4 centimeters), Murmur systolic, Sbp< 100 (systolic blood pressure is less than 100)"
beta,AS/AI,pass,"AS/AI, Ischemia","Squeezing, Central, Retrosternal, Syncope, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<60, HTN (Hypertension), HR>100 (heart rate greater than 100), JVD> 4cm (jugular venous distension greater than 4 centimeters), Murmur systolic, Sbp< 100 (systolic blood pressure is less than 100)"
live,GI,pass,"GI, Aortic Dissection","Vomiting, Stomach, Radiates, Gradual, G.I. (gastrointestinal), Age<60, CP1Day (cytopathologists), Abd tender (Abdominal tender), Un= pulses (unequal pulse), BP differential, HR>100 (heart rate greater than 100)"
beta,GI,pass,"GI, Eso rupture","Vomiting, Stomach, Radiates, Gradual, G.I. (gastrointestinal), Age<60, CP1Day (cytopathologists), Abd tender (Abdominal tender), Un= pulses (unequal pulse), BP differential, HR>100 (heart rate greater than 100)"
live,Pericarditis,pass,"Pulmonary, Pericarditis","Gradual, Days, Sharp, Throat, Auto immune, Age>65, CP1Day (cytopathologists), JVD> 4cm (jugular venous distension greater than 4 centimeters), RR>20 (respiratory rate is greater than 20), Pericardial rub, Diaphoresis"
beta,Pericarditis,pass,"Pericarditis, Pulmonary","Gradual, Days, Sharp, Throat, Auto immune, Age>65, CP1Day (cytopathologists), JVD> 4cm (jugular venous distension greater than 4 centimeters), RR>20 (respiratory rate is greater than 20), Pericardial rub, Diaphoresis"
live,Ischemia,pass,"Infarct, Ischemia","Left side, Central, Intermittent, Exertional, Infarct, Age<60, HTN (Hypertension), Diaphoresis, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), RR>20 (respiratory rate is greater than 20)"
beta,Ischemia,pass,"Ischemia, Infarct","Left side, Central, Intermittent, Exertional, Infarct, Age<60, HTN (Hypertension), Diaphoresis, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), RR>20 (respiratory rate is greater than 20)"
live,CHF,pass,"CHF, Pulmonary","Nitrate relief, Short of breath, Subacute, Tightness, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age>65, CP1Day (cytopathologists), Diaphoresis, O2sat < 90 (oxygen saturation level is less than 90), Sbp>140 (systolic blood pressure is greater than 140), Sbp< 100 (systolic blood pressure is less than 100)"
beta,CHF,pass,"AS/AI, CHF","Nitrate relief, Short of breath, Subacute, Tightness, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age>65, CP1Day (cytopathologists), Diaphoresis, O2sat < 90 (oxygen saturation level is less than 90), Sbp>140 (systolic blood pressure is greater than 140), Sbp< 100 (systolic blood pressure is less than 100)"
live,CHF,fail,"Ischemia, Pulmonary","Heaviness, Nitrate relief, Exertional, Gradual, Infarct, Age<40, HTN (Hypertension), Diaphoresis, HR>100 (heart rate greater than 100), O2sat < 90 (oxygen saturation level is less than 90), RR>20 (respiratory rate is greater than 20)"
beta,CHF,pass,"Ischemia, CHF","Heaviness, Nitrate relief, Exertional, Gradual, Infarct, Age<40, HTN (Hypertension), Diaphoresis, HR>100 (heart rate greater than 100), O2sat < 90 (oxygen saturation level is less than 90), RR>20 (respiratory rate is greater than 20)"
live,Infarct,pass,"Infarct, Ischemia","Vomiting, Pressure, Retrosternal, Gripping, CAD (Coronary artery disease), Age<40, HTN (Hypertension), Sbp>140 (systolic blood pressure is greater than 140), HR>100 (heart rate greater than 100), CTA (Computed Tomography Angiography), Sbp< 100 (systolic blood pressure is less than 100)"
beta,Infarct,pass,"Eso rupture, Infarct","Vomiting, Pressure, Retrosternal, Gripping, CAD (Coronary artery disease), Age<40, HTN (Hypertension), Sbp>140 (systolic blood pressure is greater than 140), HR>100 (heart rate greater than 100), CTA (Computed Tomography Angiography), Sbp< 100 (systolic blood pressure is less than 100)"
live,AS/AI,fail,"CHF, Infarct","Left side, Weeks, Diffuse, Months, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<20, HTN (Hypertension), Diaphoresis, JVD> 4cm (jugular venous distension greater than 4 centimeters), Rales, Low carotid puls"
beta,AS/AI,pass,"AS/AI, Pericarditis","Left side, Weeks, Diffuse, Months, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<20, HTN (Hypertension), Diaphoresis, JVD> 4cm (jugular venous distension greater than 4 centimeters), Rales, Low carotid puls"
live,Ischemia,pass,"Infarct, Ischemia","Exertional, Gripping, Retrosternal, Diffuse, Infarct, Age<30, HTN (Hypertension), Diaphoresis, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), RR>20 (respiratory rate is greater than 20)"
beta,Ischemia,pass,"Infarct, Ischemia","Exertional, Gripping, Retrosternal, Diffuse, Infarct, Age<30, HTN (Hypertension), Diaphoresis, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), RR>20 (respiratory rate is greater than 20)"
live,MS,pass,"CHF, MS","Sharp, Persistent, Minutes, Hours, Musculoskeletal, Age<20, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
beta,MS,pass,"MS, GI","Sharp, Persistent, Minutes, Hours, Musculoskeletal, Age<20, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
live,PE,pass,"PE, Pulmonary","Intermittent, Onset at rest, Short of breath, Hours, PE/DVT (Deep Vein Thrombosis and Pulmonary Embolism), Age<20, Calf pain/swell, HR>100 (heart rate greater than 100), O2sat < 90 (oxygen saturation level is less than 90), Pleural Rub, RR>20 (respiratory rate is greater than 20)"
beta,PE,pass,"PE, GI","Intermittent, Onset at rest, Short of breath, Hours, PE/DVT (Deep Vein Thrombosis and Pulmonary Embolism), Age<20, Calf pain/swell, HR>100 (heart rate greater than 100), O2sat < 90 (oxygen saturation level is less than 90), Pleural Rub, RR>20 (respiratory rate is greater than 20)"
live,MS,pass,"CHF, MS","Hours, Persistent, Ache, Minutes, Musculoskeletal, Age>65, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
beta,MS,pass,"MS, GI","Hours, Persistent, Ache, Minutes, Musculoskeletal, Age>65, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
live,MS,pass,"MS, CHF","Tender, Sharp, Stabbing, Improvement with Bending, Musculoskeletal, Age<50, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
beta,MS,pass,"MS, Pericarditis","Tender, Sharp, Stabbing, Improvement with Bending, Musculoskeletal, Age<50, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
live,Ischemia,pass,"Ischemia, Infarct","Tightness, Nitrate relief, Gradual, Squeezing, CAD (Coronary artery disease), Age<40, GreaterCRF's (Chronic renal failure), Diaphoresis, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), RR>20 (respiratory rate is greater than 20)"
beta,Ischemia,pass,"Ischemia, AS/AI","Tightness, Nitrate relief, Gradual, Squeezing, CAD (Coronary artery disease), Age<40, GreaterCRF's (Chronic renal failure), Diaphoresis, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), RR>20 (respiratory rate is greater than 20)"
live,AS/AI,fail,"Infarct, Ischemia","Diffuse, Dull, Retrosternal, Intermittent, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<20, HTN (Hypertension), Sbp< 100 (systolic blood pressure is less than 100), Diaphoresis, S3, JVD> 4cm (jugular venous distension greater than 4 centimeters)"
beta,AS/AI,pass,"AS/AI, Ischemia","Diffuse, Dull, Retrosternal, Intermittent, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<20, HTN (Hypertension), Sbp< 100 (systolic blood pressure is less than 100), Diaphoresis, S3, JVD> 4cm (jugular venous distension greater than 4 centimeters)"
live,Infarct,pass,"Infarct, Ischemia","Squeezing, Central, Persistent, Jaw, Infarct, Age<50, CP1Day (cytopathologists), Sbp< 100 (systolic blood pressure is less than 100), Diaphoresis, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140)"
beta,Infarct,pass,"Infarct, Ischemia","Squeezing, Central, Persistent, Jaw, Infarct, Age<50, CP1Day (cytopathologists), Sbp< 100 (systolic blood pressure is less than 100), Diaphoresis, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140)"
live,Pulmonary,pass,"Pulmonary, PE","Persistent, Fever, Subacute, Cough, COPD (Chronic obstructive pulmonary disease), Age<60, CP1Day (cytopathologists), RR>20 (respiratory rate is greater than 20), HR>100 (heart rate greater than 100), Pleural Rub, T>100.4 (temperature is greater than 100.4)"
beta,Pulmonary,pass,"Pulmonary, PE","Persistent, Fever, Subacute, Cough, COPD (Chronic obstructive pulmonary disease), Age<60, CP1Day (cytopathologists), RR>20 (respiratory rate is greater than 20), HR>100 (heart rate greater than 100), Pleural Rub, T>100.4 (temperature is greater than 100.4)"
live,MS,pass,"MS, CHF","Tender, Weeks, Positional, Days, Musculoskeletal, Age>65, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
beta,MS,pass,"MS, CHF","Tender, Weeks, Positional, Days, Musculoskeletal, Age>65, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
live,AS/AI,fail,"Ischemia, Infarct","Nitrate relief, Left side, Pressure, Intermittent, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<50, HTN (Hypertension), Murmur systolic, Diaphoresis, Rales, HR>100 (heart rate greater than 100)"
beta,AS/AI,pass,"AS/AI, Ischemia","Nitrate relief, Left side, Pressure, Intermittent, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<50, HTN (Hypertension), Murmur systolic, Diaphoresis, Rales, HR>100 (heart rate greater than 100)"
live,AS/AI,fail,"Infarct, Ischemia","Retrosternal, Months, Tightness, Squeezing, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<60, HTN (Hypertension), Low carotid puls, Diaphoresis, CTA (Computed Tomography Angiography), Murmur systolic"
beta,AS/AI,pass,"AS/AI, Ischemia","Retrosternal, Months, Tightness, Squeezing, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<60, HTN (Hypertension), Low carotid puls, Diaphoresis, CTA (Computed Tomography Angiography), Murmur systolic"
live,GI,pass,"Aortic Dissection, GI","Vomiting, Radiates, Burning, Stomach, G.I. (gastrointestinal), Age>65, CP1Day (cytopathologists), Abd tender (Abdominal tender), Un= pulses (unequal pulse), BP differential, HR>100 (heart rate greater than 100)"
beta,GI,pass,"GI, Eso rupture","Vomiting, Radiates, Burning, Stomach, G.I. (gastrointestinal), Age>65, CP1Day (cytopathologists), Abd tender (Abdominal tender), Un= pulses (unequal pulse), BP differential, HR>100 (heart rate greater than 100)"
live,Infarct,pass,"Infarct, Ischemia","Exertional, Onset at rest, Squeezing, Central, Infarct, Age<40, CP1Day (cytopathologists), Sbp< 100 (systolic blood pressure is less than 100), Sbp>140 (systolic blood pressure is greater than 140), Diaphoresis, HR>100 (heart rate greater than 100)"
beta,Infarct,pass,"Infarct, Ischemia","Exertional, Onset at rest, Squeezing, Central, Infarct, Age<40, CP1Day (cytopathologists), Sbp< 100 (systolic blood pressure is less than 100), Sbp>140 (systolic blood pressure is greater than 140), Diaphoresis, HR>100 (heart rate greater than 100)"
live,Ischemia,pass,"Infarct, Ischemia","Nitrate relief, Sweating, Gripping, Onset at rest, Infarct, Age<30, HLD (Hyperlipidemia), Diaphoresis, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), RR>20 (respiratory rate is greater than 20)"
beta,Ischemia,pass,"Ischemia, Infarct","Nitrate relief, Sweating, Gripping, Onset at rest, Infarct, Age<30, HLD (Hyperlipidemia), Diaphoresis, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), RR>20 (respiratory rate is greater than 20)"
live,CHF,pass,"Pulmonary, CHF","Exertional, Gradual, Nitrate relief, Cough, Infarct, Age>65, CP1Day (cytopathologists), Diaphoresis, O2sat < 90 (oxygen saturation level is less than 90), HR>100 (heart rate greater than 100), S3"
beta,CHF,pass,"CHF, Pulmonary","Exertional, Gradual, Nitrate relief, Cough, Infarct, Age>65, CP1Day (cytopathologists), Diaphoresis, O2sat < 90 (oxygen saturation level is less than 90), HR>100 (heart rate greater than 100), S3"
live,Eso rupture,fail,"PE, Infarct","Sudden, Burning, Distress, Central, Esophagus, Age<20, Trauma, RR>20 (respiratory rate is greater than 20), Diaphoresis, Abd tender (Abdominal tender), HR>100 (heart rate greater than 100)"
beta,Eso rupture,pass,"Eso rupture, PE","Sudden, Burning, Distress, Central, Esophagus, Age<20, Trauma, RR>20 (respiratory rate is greater than 20), Diaphoresis, Abd tender (Abdominal tender), HR>100 (heart rate greater than 100)"
live,Aortic Dissection,pass,"Aortic Dissection, Infarct","Onset at rest, Minutes, Pressure, Boring, CTD (connective tissue disease), Age<30, HLD (Hyperlipidemia), BP differential, Diaphoresis, Sbp< 100 (systolic blood pressure is less than 100), Un= pulses (unequal pulse)"
beta,Aortic Dissection,pass,"Aortic Dissection, Eso rupture","Onset at rest, Minutes, Pressure, Boring, CTD (connective tissue disease), Age<30, HLD (Hyperlipidemia), BP differential, Diaphoresis, Sbp< 100 (systolic blood pressure is less than 100), Un= pulses (unequal pulse)"
live,Pulmonary,pass,"Pulmonary, PE","Gradual, Cough, Subacute, Days, COPD (Chronic obstructive pulmonary disease), Age<60, TOB (Tobacco), Pleural Rub, Diaphoresis, O2sat < 90 (oxygen saturation level is less than 90), HR>100 (heart rate greater than 100)"
beta,Pulmonary,pass,"Pulmonary, PE","Gradual, Cough, Subacute, Days, COPD (Chronic obstructive pulmonary disease), Age<60, TOB (Tobacco), Pleural Rub, Diaphoresis, O2sat < 90 (oxygen saturation level is less than 90), HR>100 (heart rate greater than 100)"
live,GI,pass,"GI, Aortic Dissection","Pressure, Nausea, Boring, Acid reflux, G.I. (gastrointestinal), Age<50, CP1Day (cytopathologists), Abd tender (Abdominal tender), Un= pulses (unequal pulse), BP differential, HR>100 (heart rate greater than 100)"
beta,GI,pass,"GI, Eso rupture","Pressure, Nausea, Boring, Acid reflux, G.I. (gastrointestinal), Age<50, CP1Day (cytopathologists), Abd tender (Abdominal tender), Un= pulses (unequal pulse), BP differential, HR>100 (heart rate greater than 100)"
live,Infarct,pass,"Infarct, Ischemia","Pressure, Vomiting, Onset at rest, Minutes, Infarct, Age<30, DM (Diabetes mellitus), Sbp>140 (systolic blood pressure is greater than 140), Sbp< 100 (systolic blood pressure is less than 100), HR>100 (heart rate greater than 100), Diaphoresis"
beta,Infarct,pass,"Infarct, Eso rupture","Pressure, Vomiting, Onset at rest, Minutes, Infarct, Age<30, DM (Diabetes mellitus), Sbp>140 (systolic blood pressure is greater than 140), Sbp< 100 (systolic blood pressure is less than 100), HR>100 (heart rate greater than 100), Diaphoresis"
live,MS,pass,"MS, CHF","Tender, Improvement with Bending, Positional, Hours, Musculoskeletal, Age>65, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
beta,MS,pass,"MS, CHF","Tender, Improvement with Bending, Positional, Hours, Musculoskeletal, Age>65, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
live,Infarct,pass,"Infarct, Ischemia","Short of breath, Radiates, Left arm, Squeezing, CAD (Coronary artery disease), Age<30, CP1Day (cytopathologists), CTA (Computed Tomography Angiography), HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), Sbp< 100 (systolic blood pressure is less than 100)"
beta,Infarct,pass,"Infarct, Ischemia","Short of breath, Radiates, Left arm, Squeezing, CAD (Coronary artery disease), Age<30, CP1Day (cytopathologists), CTA (Computed Tomography Angiography), HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), Sbp< 100 (systolic blood pressure is less than 100)"
live,Pulmonary,pass,"Pulmonary, PE","Fever, Days, Subacute, Gradual, COPD (Chronic obstructive pulmonary disease), Age<30, CP1Day (cytopathologists), T>100.4 (temperature is greater than 100.4), RR>20 (respiratory rate is greater than 20), Pleural Rub, Diaphoresis"
beta,Pulmonary,pass,"Pulmonary, Pericarditis","Fever, Days, Subacute, Gradual, COPD (Chronic obstructive pulmonary disease), Age<30, CP1Day (cytopathologists), T>100.4 (temperature is greater than 100.4), RR>20 (respiratory rate is greater than 20), Pleural Rub, Diaphoresis"
live,Pericarditis,pass,"Pericarditis, Infarct","Radiating to Back, Severe, Dull, Onset at rest, Auto immune, Age<30, CP1Day (cytopathologists), Pericardial rub, JVD> 4cm (jugular venous distension greater than 4 centimeters), RR>20 (respiratory rate is greater than 20), HR>100 (heart rate greater than 100)"
beta,Pericarditis,pass,"Pericarditis, Aortic Dissection","Radiating to Back, Severe, Dull, Onset at rest, Auto immune, Age<30, CP1Day (cytopathologists), Pericardial rub, JVD> 4cm (jugular venous distension greater than 4 centimeters), RR>20 (respiratory rate is greater than 20), HR>100 (heart rate greater than 100)"
live,CHF,pass,"CHF, Pulmonary","Gradual, Short of breath, Tightness, Nitrate relief, Infarct, Age>65, HTN (Hypertension), HR>100 (heart rate greater than 100), RR>20 (respiratory rate is greater than 20), Edema, Sbp< 100 (systolic blood pressure is less than 100)"
beta,CHF,pass,"CHF, Ischemia","Gradual, Short of breath, Tightness, Nitrate relief, Infarct, Age>65, HTN (Hypertension), HR>100 (heart rate greater than 100), RR>20 (respiratory rate is greater than 20), Edema, Sbp< 100 (systolic blood pressure is less than 100)"
live,PE,pass,"PE, Infarct","Severe, Radiates, Hours, Pressure, Coagulopathy, Age<60, Bed ridden, O2sat < 90 (oxygen saturation level is less than 90), HR>100 (heart rate greater than 100), Sbp< 100 (systolic blood pressure is less than 100), Diaphoresis"
beta,PE,pass,"PE, Eso rupture","Severe, Radiates, Hours, Pressure, Coagulopathy, Age<60, Bed ridden, O2sat < 90 (oxygen saturation level is less than 90), HR>100 (heart rate greater than 100), Sbp< 100 (systolic blood pressure is less than 100), Diaphoresis"
live,PE,pass,"PE, Pulmonary","Radiates, Stabbing, Pleuritic, Sharp, PE/DVT (Deep Vein Thrombosis and Pulmonary Embolism), Age<60, Bed ridden, RR>20 (respiratory rate is greater than 20), Pleural Rub, R S3, HR>100 (heart rate greater than 100)"
beta,PE,pass,"PE, Pericarditis","Radiates, Stabbing, Pleuritic, Sharp, PE/DVT (Deep Vein Thrombosis and Pulmonary Embolism), Age<60, Bed ridden, RR>20 (respiratory rate is greater than 20), Pleural Rub, R S3, HR>100 (heart rate greater than 100)"
live,PE,pass,"PE, Pulmonary","Hours, Stabbing, Severe, Sudden, Coagulopathy, Age<30, Travel, Pleural Rub, HR>100 (heart rate greater than 100), Diaphoresis, O2sat < 90 (oxygen saturation level is less than 90)"
beta,PE,pass,"PE, Eso rupture","Hours, Stabbing, Severe, Sudden, Coagulopathy, Age<30, Travel, Pleural Rub, HR>100 (heart rate greater than 100), Diaphoresis, O2sat < 90 (oxygen saturation level is less than 90)"
live,Infarct,pass,"Infarct, Ischemia","Short of breath, Heaviness, Persistent, Tightness, Infarct, Age<30, DM (Diabetes mellitus), Sbp>140 (systolic blood pressure is greater than 140), CTA (Computed Tomography Angiography), Diaphoresis, HR>100 (heart rate greater than 100)"
beta,Infarct,pass,"Infarct, Ischemia","Short of breath, Heaviness, Persistent, Tightness, Infarct, Age<30, DM (Diabetes mellitus), Sbp>140 (systolic blood pressure is greater than 140), CTA (Computed Tomography Angiography), Diaphoresis, HR>100 (heart rate greater than 100)"
live,Pulmonary,pass,"Pulmonary, CHF","Gradual, Persistent, Fever, Days, COPD (Chronic obstructive pulmonary disease), Age<20, HLD (Hyperlipidemia), O2sat < 90 (oxygen saturation level is less than 90), T>100.4 (temperature is greater than 100.4), Diaphoresis, RR>20 (respiratory rate is greater than 20)"
beta,Pulmonary,pass,"Pulmonary, Pericarditis","Gradual, Persistent, Fever, Days, COPD (Chronic obstructive pulmonary disease), Age<20, HLD (Hyperlipidemia), O2sat < 90 (oxygen saturation level is less than 90), T>100.4 (temperature is greater than 100.4), Diaphoresis, RR>20 (respiratory rate is greater than 20)"
live,AS/AI,fail,"Ischemia, Infarct","Central, Syncope, Retrosternal, Nitrate relief, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<30, HLD (Hyperlipidemia), JVD> 4cm (jugular venous distension greater than 4 centimeters), HR>100 (heart rate greater than 100), Diaphoresis, Murmur Diastolic"
beta,AS/AI,pass,"AS/AI, Ischemia","Central, Syncope, Retrosternal, Nitrate relief, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<30, HLD (Hyperlipidemia), JVD> 4cm (jugular venous distension greater than 4 centimeters), HR>100 (heart rate greater than 100), Diaphoresis, Murmur Diastolic"
live,Pericarditis,pass,"Pericarditis, CHF","Onset at rest, Radiates, Improvement with Bending, Throat, Pericarditis, Age<20, CP1Day (cytopathologists), RR>20 (respiratory rate is greater than 20), JVD> 4cm (jugular venous distension greater than 4 centimeters), T>100.4 (temperature is greater than 100.4), Pericardial rub"
beta,Pericarditis,pass,"Pericarditis, Eso rupture","Onset at rest, Radiates, Improvement with Bending, Throat, Pericarditis, Age<20, CP1Day (cytopathologists), RR>20 (respiratory rate is greater than 20), JVD> 4cm (jugular venous distension greater than 4 centimeters), T>100.4 (temperature is greater than 100.4), Pericardial rub"
live,MS,pass,"MS, CHF","Right side, Positional, Stabbing, Fleeting, Musculoskeletal, Age<30, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
beta,MS,pass,"MS, CHF","Right side, Positional, Stabbing, Fleeting, Musculoskeletal, Age<30, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
live,Pericarditis,fail,"Infarct, Pulmonary","Central, Radiating to Back, Squeezing, Severe, Auto immune, Age>65, CP1Day (cytopathologists), T>100.4 (temperature is greater than 100.4), JVD> 4cm (jugular venous distension greater than 4 centimeters), Diaphoresis, RR>20 (respiratory rate is greater than 20)"
beta,Pericarditis,pass,"Pericarditis, Aortic Dissection","Central, Radiating to Back, Squeezing, Severe, Auto immune, Age>65, CP1Day (cytopathologists), T>100.4 (temperature is greater than 100.4), JVD> 4cm (jugular venous distension greater than 4 centimeters), Diaphoresis, RR>20 (respiratory rate is greater than 20)"
live,Eso rupture,fail,"Infarct, Pulmonary","Radiating to Back, Gripping, Retrosternal, Onset at rest, Hx ESO, Age>65, CP1Day (cytopathologists), Abd tender (Abdominal tender), RR>20 (respiratory rate is greater than 20), Sbp< 100 (systolic blood pressure is less than 100), Diaphoresis"
beta,Eso rupture,pass,"Aortic Dissection, Eso rupture","Radiating to Back, Gripping, Retrosternal, Onset at rest, Hx ESO, Age>65, CP1Day (cytopathologists), Abd tender (Abdominal tender), RR>20 (respiratory rate is greater than 20), Sbp< 100 (systolic blood pressure is less than 100), Diaphoresis"
live,PE,pass,"PE, Pulmonary","Pleuritic, Short of breath, Burning, Intermittent, Coagulopathy, Age<40, Recent surgery , O2sat < 90 (oxygen saturation level is less than 90), R S3, Pleural Rub, Diaphoresis"
beta,PE,pass,"PE, Pulmonary","Pleuritic, Short of breath, Burning, Intermittent, Coagulopathy, Age<40, Recent surgery , O2sat < 90 (oxygen saturation level is less than 90), R S3, Pleural Rub, Diaphoresis"
